Zone,PULocationID,Prediction,True Value
Lower East Side,148,63.916351318359375,113.0
Madison,149,45.33839797973633,60.0
Manhattan Beach,150,16.095182418823242,18.0
Manhattan Valley,151,78.40839385986328,61.0
Manhattanville,152,46.58427429199219,47.0
Marble Hill,153,27.285762786865234,27.0
Marine Park/Floyd Bennett Field,154,3.4950273036956787,5.0
Marine Park/Mill Basin,155,66.31026458740234,114.0
Mariners Harbor,156,40.9059944152832,35.0
Maspeth,157,39.000301361083984,59.0
Meatpacking/West Village West,158,60.035274505615234,69.0
Melrose South,159,122.03182220458984,118.0
Middle Village,160,36.801876068115234,59.0
Midtown Center,161,163.32591247558594,235.0
Midtown East,162,105.85592651367188,145.0
Midtown North,163,98.29010009765625,192.0
Midtown South,164,128.24851989746094,119.0
Midwood,165,107.39157104492188,103.0
Morningside Heights,166,90.2363510131836,94.0
Morrisania/Melrose,167,88.77598571777344,112.0
Mott Haven/Port Morris,168,189.8391571044922,181.0
Mount Hope,169,169.35748291015625,133.0
Murray Hill,170,157.81280517578125,193.0
Murray Hill-Queens,171,34.7628059387207,34.0
New Dorp/Midland Beach,172,17.09375,16.0
Newark Airport,1,0.017946377396583557,1.0
North Corona,173,43.88804626464844,39.0
Norwood,174,109.2291259765625,132.0
Oakland Gardens,175,8.06684398651123,12.0
Oakwood,176,9.99719524383545,6.0
Ocean Hill,177,91.46102142333984,120.0
Ocean Parkway South,178,37.61406326293945,18.0
Old Astoria,179,64.86607360839844,65.0
Ozone Park,180,33.773502349853516,39.0
Park Slope,181,163.5813446044922,215.0
Parkchester,182,61.7736701965332,66.0
Pelham Bay,183,30.21488380432129,31.0
Pelham Bay Park,184,2.4847450256347656,5.0
Pelham Parkway,185,101.62809753417969,126.0
Penn Station/Madison Sq West,186,80.15692901611328,99.0
Port Richmond,187,17.832279205322266,20.0
Prospect Heights,189,44.034950256347656,44.0
Prospect Park,190,7.069428443908691,15.0
Prospect-Lefferts Gardens,188,196.572021484375,219.0
Queens Village,191,79.85781860351562,81.0
Queensboro Hill,192,26.327407836914062,37.0
Queensbridge/Ravenswood,193,25.51044464111328,35.0
Randalls Island,194,4.038205623626709,4.0
Red Hook,195,40.725364685058594,38.0
Rego Park,196,57.59412384033203,62.0
Richmond Hill,197,99.19053649902344,128.0
Ridgewood,198,87.77914428710938,139.0
Rikers Island,199,0.0724422037601471,0.0
Riverdale/North Riverdale/Fieldston,200,41.6213493347168,48.0
Rockaway Park,201,9.105660438537598,15.0
Roosevelt Island,202,16.919368743896484,12.0
Rosedale,203,52.11455154418945,39.0
Rossville/Woodrow,204,1.8843810558319092,7.0
